-Infini;+Infini;+Infini;12,76032;115,9609;8,035836
-Infini;+Infini;+Infini;359,5391;121,8284;359,849
-Infini;+Infini;+Infini;359,2188;121,3449;359,8948
-Infini;+Infini;+Infini;359,1689;121,6061;359,9346
-Infini;+Infini;+Infini;359,1192;121,5693;359,9583
-Infini;+Infini;+Infini;359,134;121,6115;359,9611
0,00776;0,06251;0,19313;359,5497;121,2476;0,009620938
0,00784;0,06324;0,19469;359,5555;121,2492;0,009498477
0,00751;0,05867;0,18361;359,5731;121,2733;359,9883
0,00773;0,06282;0,1932;359,5125;121,2456;0,01142941
0,00772;0,06375;0,19513;359,5312;121,2599;-0,001996163
0,00771;0,06423;0,19575;359,7623;121,3196;359,9681
0,00787;0,06656;0,20108;359,5206;121,268;0,006383542
0,00788;0,06657;0,2009;359,5536;121,2429;0,005806236
0,00762;0,06299;0,19301;359,5223;121,2715;0,01027986
0,007900001;0,06329;0,19474;359,5494;121,2663;0,004443428
0,00769;0,06044;0,18807;359,5462;121,2673;0,002642312
0,00785;0,06082;0,18934;359,5675;121,281;0,001575191
0,0086;0,06940001;0,20951;359,5356;121,2788;0,006698501
0,008859999;0,07208;0,21611;359,5362;121,2784;-0,003774431
0,00875;0,06914;0,20883;359,5711;121,2831;0,001261459
0,00897;0,07083999;0,21268;359,5471;121,2913;0,0003891595
0,008939999;0,07056;0,21124;359,5347;121,2896;359,9888
0,00872;0,06829;0,20554;359,5544;121,2984;359,9911
0,00937;0,07621;0,22436;359,5273;121,2894;359,9889
0,009670001;0,08063;0,23478;359,5452;121,2823;-0,001418109
0,01;0,08493;0,24504;359,534;121,3003;-0,005541788
0,00988;0,08412001;0,24313;359,5597;121,2872;-0,002095356
0,00945;0,08033;0,23376;359,5527;121,2879;-0,003654529
0,00878;0,07177;0,2129;359,5304;121,292;359,9881
0,008880001;0,07364;0,21737;359,5656;121,2809;0,009829498
0,00851;0,06914;0,20653;359,5381;121,2899;0,01113121
0,00878;0,07279;0,21579;359,5355;121,2974;0,01471731
0,00884;0,07369;0,21791;359,5619;121,3069;0,00226338
0,0084;0,06964;0,20746;359,5531;121,2999;0,01505295
0,00825;0,06815;0,20339;359,5245;121,3005;0,0240079
0,00772;0,06297;0,1909;359,5473;121,2974;8,538002E-07
0,00777;0,06341;0,19222;359,5209;121,3038;0,006408342
0,00738;0,0588;0,18165;359,5259;121,2915;359,9821
0,00725;0,0594;0,18339;359,5407;121,2899;359,9849
0,00715;0,06009;0,18507;359,5617;121,2882;-0,001237448
0,00692;0,05886;0,18169;359,5706;121,2829;359,9897
0,00688;0,05971;0,18331;359,5593;121,2792;0,006336349
0,00684;0,06054;0,18493;359,5644;121,2932;0,001579047
0,00684;0,06106;0,18667;359,5508;121,2925;0,002896463
0,0068;0,0617;0,18834;359,5751;121,295;0,01076298
0,00678;0,06237;0,18998;359,5556;121,3055;0,006677485
0,00664;0,06324;0,19152;359,5463;121,2956;0,002639831
0,00655;0,06399;0,1931;359,5353;121,2997;0,009292885
0,00667;0,06481;0,19462;359,5703;121,3051;-0,005497722
0,00676;0,06546;0,19621;359,5547;121,2952;0,007964548
0,00682;0,06597;0,19784;359,5424;121,2875;-0,002620995
0,00687;0,06655;0,19943;359,5547;121,2904;-0,003427258
0,00697;0,06718;0,20099;359,5736;121,2919;8,71407E-05
0,00708;0,06778;0,20254;359,5425;121,2803;-0,0005367473
0,0073;0,06832;0,20411;359,5333;121,2869;0,009632072
0,00745;0,06897;0,20563;359,571;121,3019;359,9899
0,00768;0,06948;0,20719;359,5503;121,3133;359,9895
0,00787;0,07015;0,20867;359,5662;121,2907;-0,005377046
0,007929999;0,07064;0,21022;359,5325;121,3187;0,002907863
0,00808;0,07132;0,21167;359,5413;121,3069;359,9857
0,00822;0,072;0,21311;359,5559;121,3038;-0,0009860449
0,00828;0,07254;0,2146;359,5788;121,2989;-0,001467183
0,00838;0,07298;0,21611;359,5651;121,2855;-0,0004356372
0,00844;0,07356;0,21756;359,5695;121,2861;0,0001070583
0,00844;0,07412;0,21899;359,5282;121,2698;0,003495282
0,008529999;0,07459;0,22045;359,5891;121,2879;-0,003196677
0,00867;0,07524;0,22184;359,5597;121,2761;0,008594979
0,0088;0,07578;0,22325;359,5861;121,2825;359,9941
0,00892;0,07627;0,22467;359,5284;121,2979;0,0012864
0,00892;0,07667;0,22612;359,5687;121,2964;-0,001127747
0,00893;0,07707;0,22757;359,5372;121,2865;0,009783777
0,00899;0,07759999;0,22896;359,5974;121,2927;359,9921
0,00906;0,07809;0,23034;359,5094;121,3055;-0,0002996455
0,00918;0,0786;0,23171;359,5685;121,2902;359,9797
0,00936;0,07915;0,23305;359,5864;121,3041;359,9942
0,00948;0,07964;0,23439;359,5342;121,313;0,006618165
0,009550001;0,0801;0,23574;359,5846;121,2911;-0,001969001
0,00963;0,08065;0,23705;359,5789;121,3129;0,02355673
0,009729999;0,08128;0,2383;359,5881;121,289;-0,001429814
0,00989;0,08189;0,23955;359,5454;121,3057;0,006528319
0,0101;0,08246;0,2408;359,5488;121,3082;0,01131927
0,01024;0,0828;0,24214;359,603;121,3024;359,9839
0,0104;0,0832;0,24346;359,5106;121,2878;0,02621602
0,01046;0,08369999;0,24474;359,6028;121,3016;359,9861
0,01053;0,08419999;0,24603;359,5478;121,3125;0,01183988
0,01059;0,08473001;0,24729;359,5899;121,2966;-0,00270429
0,01064;0,08527;0,24855;359,5417;121,3097;-0,002660671
0,01074;0,08582;0,2498;359,5701;121,3057;0,006507259
0,01086;0,0864;0,25103;359,5853;121,3069;-0,001226865
0,01085;0,08698;0,25227;359,5612;121,3245;0,0113279
0,01085;0,08763;0,25347;359,5873;121,3187;0,01485747
0,01091;0,08808;0,25475;359,5869;121,3122;359,9846
0,01093;0,08867;0,25597;359,5514;121,3435;0,002723248
0,01102;0,08936;0,25713;359,5709;121,3158;-0,002616703
0,01105;0,09009;0,25826;359,5674;121,3215;-0,00156189
0,01101;0,09058;0,25949;359,5555;121,3069;0,006128545
0,01096;0,09102;0,26073;359,5989;121,3372;359,9943
0,01095;0,09128;0,26204;359,5846;121,2912;359,9943
0,01099;0,09146;0,26337;359,5329;121,3173;0,003725672
