-Infini;+Infini;+Infini;359,2144;121,9052;-2,134635E-07
-Infini;+Infini;+Infini;359,1628;121,61;-8,004981E-08
-Infini;+Infini;+Infini;359,1271;121,6339;-4,536199E-07
-Infini;+Infini;+Infini;359,1294;121,631;3,468855E-07
-Infini;+Infini;+Infini;359,1356;121,6293;-1,334173E-07
-Infini;+Infini;+Infini;359,1349;121,6277;-1,067339E-07
0,00766;0,05812;0,18533;359,5504;121,2501;-2,934937E-07
0,0077;0,05873;0,18704;359,5507;121,2513;-4,402406E-07
0,00773;0,05951;0,18867;359,5493;121,2498;-5,069438E-07
0,00775;0,06051;0,19018;359,5506;121,2522;2,001093E-07
0,00762;0,06175;0,19157;359,5486;121,2518;4,535814E-07
0,00776;0,06251;0,19313;359,5479;121,2541;-7,470752E-07
0,00784;0,06324;0,19469;359,5493;121,2548;-2,267906E-07
0,00751;0,05867;0,18361;359,5506;121,2575;-5,202843E-07
0,00773;0,06282;0,1932;359,5493;121,2581;8,004374E-07
0,00772;0,06375;0,19513;359,5508;121,2603;-3,335156E-07
0,00771;0,06423;0,19575;359,5426;121,2599;1,013888E-06
0,00787;0,06656;0,20108;359,5436;121,2622;2,668127E-08
0,00788;0,06657;0,2009;359,5416;121,2682;-2,801535E-07
0,00762;0,06299;0,19301;359,5419;121,2717;7,604164E-07
0,007900001;0,06329;0,19474;359,5417;121,2752;3,868786E-07
0,00769;0,06044;0,18807;359,5414;121,278;-5,069443E-07
0,00785;0,06082;0,18934;359,5421;121,2827;-4,002192E-08
0,0086;0,06940001;0,20951;359,5419;121,2855;1,867689E-07
0,008859999;0,07208;0,21611;359,5414;121,2876;-5,069443E-07
0,00875;0,06914;0,20883;359,5424;121,2904;4,269005E-07
0,00897;0,07083999;0,21268;359,542;121,291;3,601972E-07
0,008939999;0,07056;0,21124;359,5442;121,2934;2,668127E-07
0,00872;0,06829;0,20554;359,5447;121,2917;6,670317E-08
0,00937;0,07621;0,22436;359,546;121,2917;7,070534E-07
0,009670001;0,08063;0,23478;359,5479;121,291;-1,600876E-07
0,01;0,08493;0,24504;359,5486;121,2908;2,134501E-07
0,00988;0,08412001;0,24313;359,5496;121,2913;-5,33625E-07
0,00945;0,08033;0,23376;359,55;121,2913;1,334063E-08
0,00878;0,07177;0,2129;359,5506;121,293;2,534719E-07
